Site,TreeNo,Treatment,Innoculation,Harvest.Time,meanEi,meanLi
Woodman Farm,1,C,C,E,62.463,56.299
Woodman Farm,1,C,D,E,56.685,66.853
Woodman Farm,1,C,M,E,72.442,87.742
Woodman Farm,2,C,C,L,43.492,39.418
Woodman Farm,2,C,D,L,88.306,57.587
Woodman Farm,2,C,M,L,85.098,86.114
Woodman Farm,3,MJ,C,L,47.292,42.885
Woodman Farm,3,MJ,D,L,58.806,82.276
Woodman Farm,3,MJ,M,L,80.098,64.852
Woodman Farm,4,MJ+BTH,C,E,42.437,37.530
Woodman Farm,4,MJ+BTH,D,E,78.832,49.882
Woodman Farm,4,MJ+BTH,M,E,145.815,44.077
Woodman Farm,5,MJ,C,E,41.940,51.288
Woodman Farm,5,MJ,D,E,85.198,60.913
Woodman Farm,5,MJ,M,E,106.617,162.323
Woodman Farm,6,MJ,C,E,44.568,49.409
Woodman Farm,6,MJ,D,E,72.587,80.370
Woodman Farm,6,MJ,M,E,70.146,143.042
Woodman Farm,7,MJ+BTH,C,L,57.284,36.560
Woodman Farm,7,MJ+BTH,D,L,89.636,57.395
Woodman Farm,7,MJ+BTH,M,L,119.061,53.728
Woodman Farm,8,BTH,C,L,49.446,77.715
Woodman Farm,8,BTH,D,L,122.070,101.934
Woodman Farm,8,BTH,M,L,120.101,104.407
Woodman Farm,9,MJ,C,E,42.701,46.445
Woodman Farm,9,MJ,D,E,64.564,68.859
Woodman Farm,9,MJ,M,E,53.878,69.483
Woodman Farm,10,MJ,C,E,48.775,42.382
Woodman Farm,10,MJ,D,E,53.024,66.762
Woodman Farm,10,MJ,M,E,108.329,63.806
Woodman Farm,11,BTH,C,L,50.978,52.865
Woodman Farm,11,BTH,D,L,75.847,99.230
Woodman Farm,11,BTH,M,L,96.807,73.131
Woodman Farm,12,MJ+BTH,C,E,50.426,42.799
Woodman Farm,12,MJ+BTH,D,E,94.359,60.043
Woodman Farm,12,MJ+BTH,M,E,89.348,57.721
Woodman Farm,13,MJ+BTH,C,E,38.929,42.799
Woodman Farm,13,MJ+BTH,D,E,55.370,60.043
Woodman Farm,13,MJ+BTH,M,E,73.991,57.721
Woodman Farm,14,C,C,E,42.866,41.234
Woodman Farm,14,C,D,E,56.574,58.151
Woodman Farm,14,C,M,E,57.621,47.288
Woodman Farm,15,MJ+BTH,C,E,48.457,44.306
Woodman Farm,15,MJ+BTH,D,E,71.318,78.253
Woodman Farm,15,MJ+BTH,M,E,74.853,81.464
Woodman Farm,16,MJ+BTH,C,L,56.352,37.472
Woodman Farm,16,MJ+BTH,D,L,83.666,54.112
Woodman Farm,16,MJ+BTH,M,L,164.498,54.086
Woodman Farm,17,BTH,C,L,48.135,39.809
Woodman Farm,17,BTH,D,L,65.150,68.005
Woodman Farm,17,BTH,M,L,106.023,54.220
Woodman Farm,18,MJ+BTH,C,E,47.713,58.108
Woodman Farm,18,MJ+BTH,D,E,70.528,58.403
Woodman Farm,18,MJ+BTH,M,E,71.521,51.465
Woodman Farm,19,C,C,L,49.883,45.798
Woodman Farm,19,C,D,L,64.818,62.777
Woodman Farm,19,C,M,L,71.765,58.503
Woodman Farm,20,C,C,E,43.448,38.713
Woodman Farm,20,C,D,E,70.677,45.292
Woodman Farm,20,C,M,E,101.640,46.859
Woodman Farm,21,C,C,E,47.842,42.175
Woodman Farm,21,C,D,E,89.285,56.628
Woodman Farm,21,C,M,E,54.159,55.277
Woodman Farm,22,MJ+BTH,C,L,40.587,39.199
Woodman Farm,22,MJ+BTH,D,L,70.690,48.083
Woodman Farm,22,MJ+BTH,M,L,88.316,44.716
Woodman Farm,23,MJ,C,E,63.852,38.469
Woodman Farm,23,MJ,D,E,48.358,65.934
Woodman Farm,23,MJ,M,E,82.195,60.875
Woodman Farm,24,MJ+BTH,C,E,44.381,40.269
Woodman Farm,24,MJ+BTH,D,E,59.543,57.022
Woodman Farm,24,MJ+BTH,M,E,62.265,92.249
Woodman Farm,25,MJ,C,L,48.945,43.738
Woodman Farm,25,MJ,D,L,74.676,69.690
Woodman Farm,25,MJ,M,L,72.501,92.773
Woodman Farm,26,MJ,C,E,39.103,45.295
Woodman Farm,26,MJ,D,E,58.608,96.490
Woodman Farm,26,MJ,M,E,97.033,62.044
Woodman Farm,27,C,C,L,55.528,45.295
Woodman Farm,27,C,D,L,78.694,96.490
Woodman Farm,27,C,M,L,82.486,62.044
Woodman Farm,28,C,C,E,53.919,40.820
Woodman Farm,28,C,D,E,92.775,75.757
Woodman Farm,28,C,M,E,56.175,48.290
Woodman Farm,29,C,C,E,47.098,39.703
Woodman Farm,29,C,D,E,70.499,82.737
Woodman Farm,29,C,M,E,69.806,51.459
Woodman Farm,30,BTH,C,L,49.975,66.798
Woodman Farm,30,BTH,D,L,72.292,44.172
Woodman Farm,30,BTH,M,L,70.952,43.134
Woodman Farm,31,MJ,C,L,43.893,42.463
Woodman Farm,31,MJ,D,L,84.372,62.937
Woodman Farm,31,MJ,M,L,85.121,52.648
Woodman Farm,32,BTH,C,L,47.573,37.508
Woodman Farm,32,BTH,D,L,70.910,55.549
Woodman Farm,32,BTH,M,L,63.474,88.885
Woodman Farm,33,BTH,C,L,49.833,34.306
Woodman Farm,33,BTH,D,L,366.181,45.911
Woodman Farm,33,BTH,M,L,70.910,48.903
Woodman Farm,34,BTH,C,L,42.858,38.203
Woodman Farm,34,BTH,D,L,60.507,77.460
Woodman Farm,34,BTH,M,L,103.147,75.946
Woodman Farm,35,BTH,C,L,43.465,38.114
Woodman Farm,35,BTH,D,L,58.178,53.378
Woodman Farm,35,BTH,M,L,106.704,50.911
Woodman Farm,36,BTH,C,L,57.062,42.378
Woodman Farm,36,BTH,D,L,83.763,56.389
Woodman Farm,36,BTH,M,L,89.737,55.311
